ngonngu,theloai_eng,theloai,tensach,hinhanh,tensach,tacgia,giaban,giamgia,giagoc,mota,nxb,hinhthuc,sobinhchon,sodanhgia,namxb
Tiếng Anh,Religion,Tôn giáo,Seven Types Of Atheism,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_35652.jpg,Seven Types Of Atheism,John Gray,221,10,246.000 đ,"Seven Types Of Atheism



From the provocative author of Straw Dogs comes an incisive, surprising intervention in the political and scientific debate over religion and atheism

When you explore older atheisms, you will find that some of your firmest convictions―secular or religious―are highly questionable. If this prospect disturbs you, what you are looking for may be freedom from thought.

For a generation now, public debate has been corroded by a shrill, narrow derision of religion in the name of an often vaguely understood “science.” John Gray’s stimulating and enjoyable new book, Seven Types of Atheism, describes the complex, dynamic world of older atheisms, a tradition that is, he writes, in many ways intertwined with and as rich as religion itself.

Along a spectrum that ranges from the convictions of “God-haters” like the Marquis de Sade to the mysticism of Arthur Schopenhauer, from Bertrand Russell’s search for truth in mathematics to secular political religions like Jacobinism and Nazism, Gray explores the various ways great minds have attempted to understand the questions of salvation, purpose, progress, and evil. The result is a book that sheds an extraordinary light on what it is to be human.",Picador,Bìa Mềm,0,(0 đánh giá),2019
Tiếng Anh,Computing,Điện toán,Cult of the Dead Cow: How the Original Hacking Supergroup Might Just Save the World,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_6718.jpg,Cult of the Dead Cow: How the Original Hacking Supergroup Might Just Save the World,Joseph Menn,268,10,298.000 đ,"Cult of the Dead Cow: How the Original Hacking Supergroup Might Just Save the World

The Cult of the Dead Cow is the story of the oldest, most respected and most famous hacking group of all time. Its members invented the the concept of hacktivism, released both the top tool for cracking passwords and the reigning technique for controlling computers from afar, and spurred development of Snowden's anonymity tool of choice. With its origins in the earliest days of the Internet, the cDc is full of oddball characters--spies, activists, musicians, and politicians--who are now woven into the top ranks of the American establishment.

Today, this small group and their followers represent the best hope for making technology a force for good instead of for surveillance and oppression. Like a modern (and real) illuminati, cDc members have had the ears of presidents, secretaries of defense, and the CEO of Google. The Cult of the Dead Cow shows how we got into the mess we find ourselves in today, where governments and corporations hold immense power over individuals, and and how we are finally fighting back.",PublicAffairs,Bìa Mềm,0,(0 đánh giá),2019
Tiếng Anh,Computing,Điện toán,Six Billion Shoppers : The Companies Winning the Global E-Commerce Boom,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_6734.jpg,Six Billion Shoppers : The Companies Winning the Global E-Commerce Boom,Porter Erisman,165,10,184.000 đ,"Six Billion Shoppers : The Companies Winning the Global E-Commerce Boom

Six Billion Shoppers takes readers on an exciting and colourful journey around the world to visit the next e-commerce mega markets and explore how a new e-commerce boom is opening opportunities for entrepreneurs and global brands alike.

From China to India to Nigeria, e-commerce is entering a golden era in countries that were long left out of the e-commerce gold rush experienced in the West. If the story of the first twenty years of e-commerce’s growth was set in developed markets, the story of the next twenty years will be set in emerging ones. The rise of e-commerce in emerging markets is being driven by three major trends: widespread internet adoption, a rising middle class, and, most importantly, innovative new business models that serve the needs of local customers better than the models used by western e-commerce giants.

Travelling through Nigeria, China, India, Southeast Asia and Latin America, Porter Erisman addresses e-commerce across these new markets and what it means for western brands. He argues that e-commerce in developing countries is revolutionary and will play a much larger role in emerging markets than in the West. With e-commerce in emerging markets entering a rapid period of expansion, Six Billion Shoppers explains how to seize the massive opportunity created by emerging market consumers and provides practical advice on how to ride this new business trend.",Macmillan; Main Market edition,Bìa Mềm,0,(0 đánh giá),2018
Tiếng Anh,Crime & Thriller,Tội phạm & Phim kinh dị,Atlas Shrugged,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9780141188935.jpg,Atlas Shrugged,Ayn Rand,250,11,282.000 đ,"""Atlas Shrugged"" is the astounding story of a man who said that he would stop the motor of the world - and did. Tremendous in scope, breathtaking in its suspense, ""Atlas Shrugged"" stretches the boundaries further than any book you have ever read. It is a mystery, not about the murder of a man's body, but about the murder - and rebirth - of man's spirit.",Penguin Books,Bìa Mềm,0,(2 đánh giá),2007
Tiếng Anh,History & Archaeology,Lịch sử và Khảo cổ học,Upheaval: Turning Points for Nations in Crisis,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_12961.jpg,Upheaval: Turning Points for Nations in Crisis,Jared Diamond,615,5,129.000đ,"Upheaval: Turning Points for Nations in Crisis

A Bill Gates Summer Reading Pick

A ""riveting and illuminating"" (Yuval Noah Harari) new theory of how and why some nations recover from trauma and others don't, by the Pulitzer-Prize-winning author of the landmark bestsellers Guns, Germs, and Steel and Collapse.

In his international bestsellers Guns, Germs and Steel and Collapse, Jared Diamond transformed our understanding of what makes civilizations rise and fall. Now, in his third book in this monumental trilogy, he reveals how successful nations recover from crises while adopting selective changes -- a coping mechanism more commonly associated with individuals recovering from personal crises. Diamond compares how six countries have survived recent upheavals -- ranging from the forced opening of Japan by U.S. Commodore Perry's fleet, to the Soviet Union's attack on Finland, to a murderous coup or countercoup in Chile and Indonesia, to the transformations of Germany and Austria after World War Two. Because Diamond has lived and spoken the language in five of these six countries, he can present gut-wrenching histories experienced firsthand. These nations coped, to varying degrees, through mechanisms such as acknowledgment of responsibility, painfully honest self-appraisal, and learning from models of other nations. Looking to the future, Diamond examines whether the United States, Japan, and the whole world are successfully coping with the grave crises they currently face. Can we learn from lessons of the past?

Adding a psychological dimension to the in-depth history, geography, biology, and anthropology that mark all of Diamond's books, Upheaval reveals factors influencing how both whole nations and individual people can respond to big challenges. The result is a book epic in scope, but also his most personal book yet.",Little Brown and Company,Bìa Cứng,0,(0 đánh giá),2019
Tiếng Anh,Poetry & Drama,Thơ và Kịch,William Shakespeare's The Jedi Doth Return,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_23716.jpg,William Shakespeare's The Jedi Doth Return,Quirk Books,197,10,219.000 đ,"Hot on the heels of the New York Times best seller William Shakespeare’s Star Wars comes the next two installments of the original trilogy: William Shakespeare’s The Empire Striketh Back and William Shakespeare’s The Jedi Doth Return. Return to the star-crossed galaxy far, far away as the brooding young hero, a power-mad emperor, and their jesting droids match wits, struggle for power, and soliloquize in elegant and impeccable iambic pentameter. Illustrated with beautiful black-and-white Elizabethan-style artwork, these two plays offer essential reading for all ages. Something Wookiee this way comes!",Quirk Books,Bìa Mềm,0,(0 đánh giá),1/7/2014
Tiếng Anh,Religion,Tôn giáo,The King And The Catholics: The Fight For Rights 1829,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_31172.jpg,The King And The Catholics: The Fight For Rights 1829,W&N,376,10,418.000 đ,"The King And The Catholics: The Fight For Rights 1829

The story of Catholic Emancipation begins with the violent Anti-Catholic Gordon Riots in 1780, fuelled by the reduction in Penal Laws against the Roman Catholics harking back to the sixteenth century. Some fifty years later, the passing of the Emancipation Bill was hailed as a 'bloodless revolution'. Had the Irish Catholics been a 'millstone', as described by an English aristocrat, or were they the prime movers? While the English Catholic aristocracy and the Irish peasants and merchants approached the Catholic Question in very different ways, they manifestly shared the same objective. Antonia Fraser brings colour and humour to the vivid drama with its huge cast of characters: George III, who opposed Emancipation on the basis of the Coronation Oath; his son, the indulgent Prince of Wales, who was enamoured with the Catholic Maria Fitzherbert before the voluptuous Lady Conyngham; Wellington and the 'born Tory' Peel vying for leadership; 'roaring' Lord Winchilsea; the heroic Daniel O'Connell. Expertly written and deftly argued, THE KING AND THE CATHOLICS is also a distant mirror of our times, reflecting the political issues arising from religious intolerance.",W&N,Bìa Mềm,0,(0 đánh giá),2019
Tiếng Anh,Poetry & Drama,Thơ và Kịch,No Fear Shakespeare - Twelfth Night,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9781586638511.jpg,No Fear Shakespeare - Twelfth Night,William Shakespeare,95,5,140.000đ,"No Fear Shakespeare - Twelfth Night
No Fear Shakespeare gives you the complete text of Twelfth Night on the left-hand page, side-by-side with an easy-to-understand translation on the right.
 
Each No Fear Shakespeare contains:

The complete text of the original play
A line-by-line translation that puts Shakespeare into everyday language
A complete list of characters with descriptions
Plenty of helpful commentary",SparkNotes,Bìa Mềm,0,(0 đánh giá),2019
Tiếng Anh,Poetry & Drama,Thơ và Kịch,SLAM! You're Gonna Wanna Hear This,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_228135.jpg,SLAM! You're Gonna Wanna Hear This,Nikita Gill,142,10,158.000 đ,"SLAM! You're Gonna Wanna Hear This

It's time to reclaim poetry.

Collected by international poetry sensation Nikita Gill, SLAM! You're Gonna Wanna Hear This is a joyful celebration of the ground-breaking poets making their voices heard in the spoken word scene. Empowering, inspiring and often hilarious, SLAMs are a platform for well-known and emerging talent from all walks of life where every style of poetry has a home.

With poets such as Raymond Antrobus, Sophia Thakur and Dean Atta guest starring alongside up-and-coming poets, this is the perfect introduction to the world of modern poetry. Each poet will introduce their poem, tell you a little bit about themselves and give you a tip for preparing brilliant performance poetry.",Macmillan Children's Books,Bìa Mềm,0,(0 đánh giá),2020
Tiếng Anh,Food & Drink,Thực phẩm và Đồ uống,"The Big Book Of Air Fryer Recipes: 240 Standout Recipes With 240 Gorgeous Photos For Healthy, Delicious Meals",https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_235032.jpg,"The Big Book Of Air Fryer Recipes: 240 Standout Recipes With 240 Gorgeous Photos For Healthy, Delicious Meals",Page Street Publishing,503,10,559.000 đ,"The Big Book Of Air Fryer Recipes: 240 Standout Recipes With 240 Gorgeous Photos For Healthy, Delicious Meals

The Ultimate Everyday Cookbook for Your Air Fryer

Parrish Ritchie, creator of Life With The Crust Cut Off, compiled 240 of her favorite air fryer recipes so you can make any dish you're craving and still save time in the kitchen. With gorgeous photography for each mouthwatering meal and recipes ranging from egg rolls to bagels, calzones and even churros, there's something for everyone in this cookbook! What's even better? The air fryer cooks food in half the time of a conventional oven--plus you'll get that crispy, delicious crunch you love without cups of oil. And the best part is that everything you put in the air fryer comes out tasting absolutely amazing! With this comprehensive cookbook you'll be ready to make the most of any meal, any time, with recipes including:

- Southwest Avocado Egg Rolls

- Rainbow Bagels

- Crispy Chicken Fries

- Cheesesteak-Stuffed Peppers

- Buttermilk Ranch Drumsticks

- Chicken Alfredo Calzones

- ""Fried"" Cookie Dough Bites

- Mini Churros with Caramel

With so many fantastic recipes to choose from, you're sure to have a tastier, healthier meal on the table in record time.",Page Street Publishing,Bìa Mềm,0,(0 đánh giá),2020
Tiếng Anh,"Mind, Body & Spirit","Tâm trí, cơ thể và tinh thần",The Silva Mind Control Method,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9780671739898-_1_.jpg,The Silva Mind Control Method,POCKET BOOKS,135,10,150.000 đ,"The Silva Mind Control Method
Since ""The Silva Mind Control Method"" was first published in hardcover, over one million people (including top celebrities) have graduated from Mind Control training to use their minds at a deeper and more effective level, even in their sleep!",POCKET BOOKS,Bìa Mềm,0,(0 đánh giá),24/05/2006
Tiếng Anh,Poetry & Drama,Thơ và Kịch,Beowulf,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21298.jpg,Beowulf,Anonymous,74,10,83.000 đ,"Beowulf is the earliest extant poem in a modern European language reflecting a feudal, newly Christian world of heroes and monsters, blood and victory, life and death. Its beauty, power, and artistry have kept it alive for more than thirteen centuries. @E",Penguin Group US,Bìa Mềm,0,(0 đánh giá),2008
Tiếng Anh,Crafts and Hobbies,Hàng thủ công và sở thích,Artist's Painting Techniques,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_3035.jpg,Artist's Painting Techniques,DK,460,10,512.000 đ,"Whether you're trying your hand at painting for the first time or honing your artistic ability, Artist's Painting Techniques is the handiest guide to teach you how to paint.

Starting with the basics such as observational skills and learning how to draw, Artist's Painting Techniques will guide you into working with watercolours, acrylics, and oil paints. Discover everything you need to know about tone, colour, pattern, brushwork, and composition to create your own masterpieces with confidence. Learn a range of key watercolour, acryllic, and oil painting techniques, including laying a flat wash, painting fur, and creating impasto sculptural effects. Embark on exciting artistic exercises and projects to discover your style and grow as an artist.

Follow the fully illustrated step-by-step guides and get inspiring advice and encouragement from practising artists. Kickstart your creativity and develop your own style with Artist's Painting Techniques.",Dorling Kindersley Ltd,Bìa Cứng,0,(0 đánh giá),1/8/2016
Tiếng Anh,Technology & Engineering,Công nghệ & Kỹ thuật,"Make, Think, Imagine : Engineering The Future Of Civilisation",https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9781526605702.jpg,"Make, Think, Imagine : Engineering The Future Of Civilisation",John Browne,228,10,254.000 đ,"Make, Think, Imagine : Engineering The Future Of Civilisation

LONGLISTED FOR THE FINANCIAL TIMES AND MCKINSEY BUSINESS BOOK OF THE YEAR AWARD 2019

'An ode to the ways in which engineering has improved human civilisation' John Hennessy, Chairman, Alphabet

'A blueprint for future global progress underpinned by the spirit of innovation' Lord Foster, architect

Today's unprecedented pace of change leaves many people wondering what new technologies are doing to our lives. Has social media robbed us of our privacy and fed us with false information? Are the decisions about our health, security and finances made by computer programs inexplicable and biased? Will these algorithms become so complex that we can no longer control them? Are robots going to take our jobs? Will better healthcare lead to an ageing population which cannot be cared for? Can we provide housing for our ever-growing urban populations? Will we all be terrorised by autonomous drones that can identify and kill us, one by one? And has our demand for energy driven the Earth's climate to the edge of catastrophe?

John Browne argues that we need not and must not put the brakes on technological advance. Civilisation is founded on engineering innovation; all progress stems from the human urge to make things and to shape the world around us, resulting in greater freedom, health and wealth for all. Drawing on history, his own experiences and conversations with many of today's great innovators, he uncovers the basis for all progress and its consequences, both good and bad. He argues compellingly that the same spark that triggers each innovation can be used to counter its negative consequences. Make, Think, Imagine provides an eloquent blueprint for how we can keep moving towards a brighter future.",Bloomsbury Publishing,Bìa Mềm,0,(0 đánh giá),2019
Tiếng Anh,Travel & Holiday Guides,Hướng dẫn du lịch và kỳ nghỉ,Summits of My Life: Daring Adventures on the World's Greatest Peaks,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_26859.jpg,Summits of My Life: Daring Adventures on the World's Greatest Peaks,Kilian Jornet,443,10,493.000 đ,"Summits of My Life: Daring Adventures on the World's Greatest Peaks

Kilian Jornet is the world’s fastest mountain climber, ultrarunner, and ski mountaineer and his Summits of My Life project is his most ambitious achievement: the 29 year-old Spaniard challenged ascent and descent records for the world’s most important mountains including Mont Blanc, the Matterhorn, Mt. Elbrus, Denali, Aconcagua, and Mount Everest. By using all his talent in ultrarunning, climbing, and skiing, Jornet made worldwide headlines with his jaw-dropping, superhuman climbs.

In this illustrated, info-packed, and awe-inspiring account, Jornet documents his successful attempts to set new roundtrip FKTs (fastest-known times) while following his own ethic of climbing simply, purely, with minimal gear, and with love and respect for the environment and the mountains. Summits of My Life includes his preparation, his successes and failures, facts and elevation maps, and mind-blowing statistics along with Jornet’s personal commentary and inspiring photographs.

With every new record, Jornet achieves the unthinkable and pushes the boundaries of mountaineer, ultrarunning, and ski mountaineering. Now, as his project nears completion, Jornet’s Summits of My Life will awe and thrill readers.",VeloPress,Bìa Mềm,0,(0 đánh giá),2018
